Top 20 largest shapes in test-output\accuracy-1772297544796.dxf:
1. POLYLINE - 1220.0x2440.0 = Area 2976800.0 (Layer: 0, Points: 4)
2. POLYLINE - 115.44x500.0 = Area 57719.0 (Layer: 0, Points: 8)
3. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
4. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
5. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
6. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
7. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
8. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
9. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
10. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
11. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
12. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
13. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
14. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
15. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
16. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
17. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
18. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
19. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
20. POLYLINE - 76.2x76.2 = Area 5806.4 (Layer: 0, Points: 4)
